action_frac,anchor_boundary_f1,anchor_boundary_iou,anchor_component_count_mae,anchor_component_delta_mean,anchor_dice,anchor_gap_region_fp_rate,anchor_iou,anchor_precision,anchor_recall,candidate_boundary_f1,candidate_boundary_iou,candidate_component_count_mae,candidate_component_delta_mean,candidate_dice,candidate_gap_region_fp_rate,candidate_iou,candidate_precision,candidate_rank,candidate_recall,delta_boundary_f1,delta_boundary_iou,delta_component_count_mae,delta_component_delta_mean,delta_dice,delta_gap_region_fp_rate,delta_iou,delta_precision,delta_recall,image,r216_bg_channel_proxy,r216_bg_component_count_delta,r216_bg_components_after,r216_bg_components_before,r216_crop_area,r216_cut_adjacent_bg_components_before,r216_cut_adjacent_bg_frac_before,r216_cut_area,r216_cut_component_bg_area_after,r216_cut_component_bg_frac_crop_after,r216_cut_component_border_contacts_after,r216_cut_frac_crop,r216_cut_gt_fg_frac,r216_cut_gt_gap_frac,r216_hard_risk,r216_overerosion_proxy,r216_quick_useful,r216_safe_channel_proxy_positive,run_id,split
0.25,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.43655497762187007,0.27922630560928435,1.0,-1.0,0.9024644091736981,0.13879296168393357,0.8222643682053714,0.904886139167381,1.0,0.9000556070435588,0.00017813972025454428,0.00014573908966514226,0.0,0.0,-4.441818181200041e-05,-5.4815545688757794e-05,-7.375154537359041e-05,2.3087183032233227e-05,-0.00011121408711778358,10375.png,1.0,0.0,1.0,1.0,1517.0,1.0,0.4117647058823529,4.0,381.0,0.25115359261700726,3.0,0.0026367831245880024,0.75,0.25,0.0,1.0,1.0,0.0,R216-soft-seam-action-candidate-diagnostic,val
0.5,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.43627124795838124,0.27899419729206965,1.0,-1.0,0.9024440107796673,0.13879296168393357,0.8222305008974836,0.9048825941110697,1.0,0.9000185356811863,-0.0001055899432342855,-8.636922754956533e-05,0.0,0.0,-6.481657584278544e-05,-5.4815545688757794e-05,-0.00010761885326138199,1.954212672095057e-05,-0.0001482854494903041,10375.png,1.0,0.0,1.0,1.0,1517.0,1.0,0.4375,5.0,382.0,0.25181278839815424,3.0,0.0032959789057350032,0.8,0.2,1.0,1.0,0.0,0.0,R216-soft-seam-action-candidate-diagnostic,val
0.75,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.4365285757484125,0.27920470369797307,1.0,-1.0,0.9024644091736981,0.13879296168393357,0.8222643682053714,0.904886139167381,1.0,0.9000556070435588,0.00015173784679695101,0.00012413717835385585,0.0,0.0,-4.441818181200041e-05,-5.4815545688757794e-05,-7.375154537359041e-05,2.3087183032233227e-05,-0.00011121408711778358,10375.png,0.0,0.0,1.0,1.0,1444.0,1.0,0.3333333333333333,4.0,339.0,0.2347645429362881,3.0,0.002770083102493075,0.75,0.25,0.0,1.0,1.0,0.0,R216-soft-seam-action-candidate-diagnostic,val
1.0,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.43580284245539763,0.2786111970306217,1.0,-1.0,0.9023420074349442,0.13879296168393357,0.8220611643580452,0.9048648648648648,1.0,0.8998331788693235,-0.0005739954462178898,-0.0004693694889975064,0.0,0.0,-0.00016681992056588602,-5.4815545688757794e-05,-0.00027695539269978475,1.812880516038895e-06,-0.0003336422613531287,10375.png,1.0,0.0,1.0,1.0,1558.0,1.0,0.3888888888888889,10.0,387.0,0.248395378690629,3.0,0.006418485237483954,0.9,0.1,1.0,1.0,0.0,0.0,R216-soft-seam-action-candidate-diagnostic,val
0.25,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.4358927815090458,0.2786847195357834,1.0,-1.0,0.9024272385979258,0.13884777722962233,0.8222026551070171,0.9048488688457381,2.0,0.9000185356811863,-0.00048405639256970945,-0.0003958469838358236,0.0,0.0,-8.158875758423889e-05,0.0,-0.00013546464372793388,-1.4183138610679435e-05,-0.0001482854494903041,10375.png,1.0,0.0,1.0,1.0,1480.0,1.0,0.5,4.0,386.0,0.2608108108108108,3.0,0.002702702702702703,1.0,0.0,1.0,1.0,0.0,0.0,R216-soft-seam-action-candidate-diagnostic,val
0.5,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.4358927815090458,0.2786847195357834,1.0,-1.0,0.9024272385979258,0.13884777722962233,0.8222026551070171,0.9048488688457381,2.0,0.9000185356811863,-0.00048405639256970945,-0.0003958469838358236,0.0,0.0,-8.158875758423889e-05,0.0,-0.00013546464372793388,-1.4183138610679435e-05,-0.0001482854494903041,10375.png,1.0,0.0,1.0,1.0,1480.0,1.0,0.5,4.0,386.0,0.2608108108108108,3.0,0.002702702702702703,1.0,0.0,1.0,1.0,0.0,0.0,R216-soft-seam-action-candidate-diagnostic,val
0.75,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.43602927832557015,0.2787963177844821,1.0,-1.0,0.9024272385979258,0.13884777722962233,0.8222026551070171,0.9048488688457381,2.0,0.9000185356811863,-0.00034755957604537535,-0.0002842487351371048,0.0,0.0,-8.158875758423889e-05,0.0,-0.00013546464372793388,-1.4183138610679435e-05,-0.0001482854494903041,10375.png,1.0,0.0,1.0,1.0,1444.0,1.0,0.4166666666666667,4.0,355.0,0.2458448753462604,3.0,0.002770083102493075,1.0,0.0,1.0,1.0,0.0,0.0,R216-soft-seam-action-candidate-diagnostic,val
1.0,0.4363768379016155,0.2790805665196192,1.0,-1.0,0.9025088273555101,0.13884777722962233,0.822338119750745,0.9048630519843488,0.9001668211306766,0.43554533905994797,0.27840074240197976,1.0,-1.0,0.9023456377086354,0.13884777722962233,0.8220671904632891,0.9048346814776158,2.0,0.899870250231696,-0.0008314988416675551,-0.0006798241176394493,0.0,0.0,-0.00016318964687467297,0.0,-0.00027092928745586775,-2.8370506732988687e-05,-0.0002965708989806082,10375.png,1.0,0.0,1.0,1.0,1520.0,1.0,0.4375,8.0,390.0,0.2565789473684211,3.0,0.005263157894736842,1.0,0.0,1.0,1.0,0.0,0.0,R216-soft-seam-action-candidate-diagnostic,val
0.25,0.4067627425291659,0.2553058187798575,0.0,0.0,0.8978390408500251,0.19581738503356078,0.8146169880145909,0.8750043729228616,0.9218974604695735,0.40715799975059236,0.25561731777969154,0.0,0.0,0.8978404868328935,0.19554002329838577,0.8146193687090785,0.8751399776035834,1.0,0.9217500276436549,0.00039525722142647046,0.00031149899983407003,0.0,0.0,1.4459828684421083e-06,-0.00027736173517500795,2.380694487547075e-06,0.00013560468072182363,-0.00014743282591866969,10520.png,1.0,0.0,1.0,1.0,1786.0,1.0,0.41935483870967744,9.0,850.0,0.47592385218365063,3.0,0.005039193729003359,0.4444444444444444,0.5555555555555556,0.0,0.0,1.0,1.0,R216-soft-seam-action-candidate-diagnostic,val
0.5,0.4067627425291659,0.2553058187798575,0.0,0.0,0.8978390408500251,0.19581738503356078,0.8146169880145909,0.8750043729228616,0.9218974604695735,0.40790868833031874,0.25620935516728044,0.0,0.0,0.8979496570792488,0.19509624452210572,0.8147991267798378,0.875380684006021,1.0,0.9217131694371752,0.0011459458011528478,0.0009035363874229652,0.0,0.0,0.0001106162292237034,-0.000721140511455054,0.00018213876524686423,0.00037631108315938633,-0.00018429103239836486,10520.png,1.0,0.0,1.0,1.0,2052.0,1.0,0.4772727272727273,18.0,992.0,0.4834307992202729,3.0,0.008771929824561403,0.2777777777777778,0.7222222222222222,0.0,0.0,1.0,1.0,R216-soft-seam-action-candidate-diagnostic,val
